@RELATION mirnas_train


@ATTRIBUTE ddG NUMERIC
@ATTRIBUTE gc_content NUMERIC
@ATTRIBUTE dP NUMERIC
@ATTRIBUTE dQ NUMERIC
@ATTRIBUTE ddS NUMERIC
@ATTRIBUTE dMelt NUMERIC
@ATTRIBUTE dGU NUMERIC
@ATTRIBUTE dAU NUMERIC
@ATTRIBUTE dSS NUMERIC
@ATTRIBUTE Fs NUMERIC
@ATTRIBUTE zP NUMERIC
@ATTRIBUTE zG NUMERIC
@ATTRIBUTE zQ NUMERIC
@ATTRIBUTE zD NUMERIC
@ATTRIBUTE zF NUMERIC
@ATTRIBUTE nefe NUMERIC
@ATTRIBUTE freq NUMERIC
@ATTRIBUTE diff NUMERIC
@ATTRIBUTE diversity NUMERIC
@ATTRIBUTE GU_stems NUMERIC
@ATTRIBUTE MFEI1 NUMERIC
@ATTRIBUTE MFEI2 NUMERIC
@ATTRIBUTE MFEI3 NUMERIC
@ATTRIBUTE MFEI4 NUMERIC
@ATTRIBUTE MFEIss NUMERIC
@ATTRIBUTE dPdQ NUMERIC
@ATTRIBUTE MFEI1zG NUMERIC
@ATTRIBUTE dPzG NUMERIC
@ATTRIBUTE class {yes,no}

@DATA
-0.5329113924050634,0.977407466752123,0.3670886075949367,0.019868148615644607,-9.383544303797468,0.4644594596902124,0.2911392405063291,0.05063291139240506,0.02531645569620253,0.381966,3.737,-2.1882,-1.1777,-1.1352,-0.5901,-0.6082278481012657,320.2529,0.010759493670886003,8.15,0.009852216748768473,0.5452295081967214,0.07613019891500905,0.08881856540084389,0.018376254910519425,21.050000000000004,0.007293371010806248,-1.1930712098360658,-0.8032632911392406,yes
-0.38641975308641974,0.8230452674897119,0.2962962962962963,0.019354464907820473,-9.325925925925926,0.4340762967539069,0.19753086419753085,0.06172839506172839,0.037037037037037035,1.0,-1.9369,0.7713,0.0533,-0.027,0.7188,-0.4204938271604939,320.0299645,0.026666666666666713,17.02,0.025,0.46950000000000003,0.07728395061728395,0.07728395061728395,0.016100823045267488,10.433333333333334,0.005734656268983843,0.36212535,0.2285333333333333,no
-0.48533333333333334,0.48,0.4266666666666667,0.01939691626349881,-9.625333333333334,0.480768342799095,0.14666666666666667,0.26666666666666666,0.013333333333333334,1.0,5.069,-7.1674,-1.4811,-1.4812,1.616,-0.5453333333333333,320.319837,0.009333333333333277,2.07,0.00625,1.011111111111111,0.09706666666666666,0.12133333333333333,0.015166666666666667,36.4,0.008276017605759493,-7.247037777777777,-3.0580906666666667,yes
-0.2021505376344086,0.6127876055035264,0.24731182795698925,0.016070325289117282,-7.586021505376344,0.36213163850849317,0.12903225806451613,0.08602150537634409,0.010752688172043012,0.585786,0.1102,-2.5838,-0.1544,-0.0348,0.2488,-0.24193548387096775,320.02032,0.025806451612903212,14.21,0.021739130434782608,0.3298867924528302,0.03369175627240143,0.04043010752688172,0.008789153810191679,18.799999999999997,0.003974381523115027,-0.8523614943396227,-0.6390043010752688,no
-0.3270588235294118,0.6643598615916955,0.4,0.017905036410439553,-10.158823529411764,0.4027385128921285,0.2,0.11764705882352941,0.023529411764705882,0.381966,6.1563,-2.6763,-0.8643,-0.5463,1.1109,-0.415764705882353,320.0308678,0.0251764705882353,13.67,0.029411764705882353,0.49229166666666674,0.04672268907563026,0.040882352941176474,0.009619377162629759,13.900000000000002,0.007162014564175822,-1.3175201875000002,-1.07052,yes
-0.25058823529411767,0.7058823529411764,0.2235294117647059,0.016928900765674666,-6.8882352941176475,0.4076957854021199,0.12941176470588237,0.07058823529411765,0.03529411764705882,0.381966,-0.851,0.0,-0.4319,-0.3327,-0.3397,-0.2823529411764706,320.00906987,0.03411764705882351,12.75,0.03508771929824561,0.35500000000000004,0.0835294117647059,0.05011764705882353,0.013188854489164088,7.1000000000000005,0.0037841072299743374,0.0,0.0,no
-0.3923076923076923,0.0,0.38461538461538464,0.02978039627928566,-9.815384615384614,0.6733029901133349,0.15384615384615385,0.21153846153846154,0.019230769230769232,0.0,2.2321,-4.9602,-1.7049,-1.7375,0.5354,-0.44134615384615383,320.784817,0.0028846153846153575,1.38,0.0125,0.5304,0.09807692307692308,0.13076923076923078,0.019615384615384614,20.4,0.011453998568956025,-2.63089008,-1.907769230769231,yes
-0.21234567901234566,0.6706294772138393,0.2345679012345679,0.018103523894316135,-7.822222222222223,0.4163938770420252,0.14814814814814814,0.024691358024691357,0.012345679012345678,0.381966,-0.5388,1.1505,3.3436,3.273,-0.3294,-0.2519753086419753,320.0234019,0.028518518518518502,31.12,0.043859649122807015,0.31663636363636366,0.03539094650205761,0.03539094650205761,0.011176088369070825,17.2,0.004246505604839587,0.36429013636363644,0.26987037037037037,no
-0.2723404255319149,0.0,0.3617021276595745,0.033493084241966155,-8.253191489361702,0.7300631331830424,0.1702127659574468,0.14893617021276595,0.02127659574468085,0.0,3.3085,-2.5987,-0.8821,-0.7034,0.5011,-0.3604255319148936,320.257018,0.017872340425531912,5.58,0.023529411764705882,0.2228148148148148,0.05446808510638298,0.05446808510638298,0.01602002503128911,12.8,0.012114519832200524,-0.5790288592592592,-0.9399553191489363,yes
-0.3,0.8535284255448864,0.2716049382716049,0.018985380961033742,-6.687654320987654,0.4382636282211693,0.19753086419753085,0.037037037037037035,0.08641975308641975,0.518806,-0.8947,1.4534,0.5521,0.2585,-0.826,-0.3567901234567901,320.0541321,0.02222222222222219,17.97,0.02727272727272727,0.35148214285714285,0.06,0.04285714285714286,0.013636363636363636,3.4714285714285715,0.005156523223984473,0.5108441464285715,0.3947506172839506,no
